firstname,lastname,title,grad_school,grad_year,department,school_of_employment,school_of_employment_code,grad_school_code
Mansur,Ahmad,Ph.D.,University of Connecticut Health Center,1998,School of Dentistry,"University of Minnesota, Twin Cities",186,
Lisa,Ahmann,M.Ed.,University of Minnesota,1980,School of Dentistry,"University of Minnesota, Twin Cities",186,
Gary,Anderson,MS,University of Minnesota Graduate School,1983,School of Dentistry,"University of Minnesota, Twin Cities",186,
Conrado,Aparicio,Ph.D.,Technological Univ. Catalonia (Spain),2004,School of Dentistry,"University of Minnesota, Twin Cities",186,
Leon,Assael,B.A.,Columbia University,1971,School of Dentistry,"University of Minnesota, Twin Cities",186,246
Brian,Barsness,D.D.S.,University of Minnesota School of Dentistry,2004,School of Dentistry,"University of Minnesota, Twin Cities",186,
Muriel,Bebeau,Ph.D.,Arizona State University,1977,School of Dentistry,"University of Minnesota, Twin Cities",186,23
David,Bereiter,Ph.D.,University of Illinois,1976,School of Dentistry,"University of Minnesota, Twin Cities",186,
Peter,Berthold,Ph.D.,Ph.D. Karolinska Institutet Stockholm,1978,School of Dentistry,"University of Minnesota, Twin Cities",186,
David,Born,Ph.D,Southern Illinois University,1970,School of Dentistry,"University of Minnesota, Twin Cities",186,
Walter,Bowles,Ph.D.,University of Minnesota,2009,School of Dentistry,"University of Minnesota, Twin Cities",186,
Judith,Buchanan,Ph.D.,University of Texas,1975,School of Dentistry,"University of Minnesota, Twin Cities",186,
Susan,Buck-Wischmeier,D.D.S.,University of Minnesota School of Dentistry,1996,School of Dentistry,"University of Minnesota, Twin Cities",186,
Edward,Combe,Ph.D.,University of Manchester,1968,School of Dentistry,"University of Minnesota, Twin Cities",186,
Gary,Cook,MS,University of Minnesota,1993,School of Dentistry,"University of Minnesota, Twin Cities",186,
Massimo,Costalonga,Ph.D.,University of Minnesota School of Dentistry,1999,School of Dentistry,"University of Minnesota, Twin Cities",186,
Judy,Danielson,M.D.H.,University of Minnesota,2013,School of Dentistry,"University of Minnesota, Twin Cities",186,
Karen,Decker,BS,University of Minnesota,1970,School of Dentistry,"University of Minnesota, Twin Cities",186,
Ralph,DeLong,Ph.D.,University of Minnesota,1974,School of Dentistry,"University of Minnesota, Twin Cities",186,
Richard,Dryer,D.D.S.,University of Michigan,2002,School of Dentistry,"University of Minnesota, Twin Cities",186,
Priscilla,Flynn,Dr.P.H.,University of North Carolina,2008,School of Dentistry,"University of Minnesota, Twin Cities",186,
Alex,Fok,Ph.D.,University of Manchester (UK),1994,School of Dentistry,"University of Minnesota, Twin Cities",186,
Raj,Gopalakrishnan,Ph.D.,The Ohio State University,1999,School of Dentistry,"University of Minnesota, Twin Cities",186,
Sven-Ulrik,Gorr,Ph.D.,University of Copenhagen,1990,School of Dentistry,"University of Minnesota, Twin Cities",186,
Shelley,Grimes,Ph.D.,University of Minnesota,1989,School of Dentistry,"University of Minnesota, Twin Cities",186,
Thorsten,GrÌ_nheid,Ph.D.,University of Amsterdam (Netherlands),2010,School of Dentistry,"University of Minnesota, Twin Cities",186,
Samantha,Harris,D.D.S.,Baltimore College of Dental Surgery,2009,School of Dentistry,"University of Minnesota, Twin Cities",186,
Mark,Herzberg,Ph.D,State University of New York at Buffalo Graduate School Department of Oral Biology,1978,School of Dentistry,"University of Minnesota, Twin Cities",186,
Gary,Hildebrandt,MS,University of Michigan School of Dentistry,1990,School of Dentistry,"University of Minnesota, Twin Cities",186,
James,Hinrichs,DDS,University of Nebraska,1975,School of Dentistry,"University of Minnesota, Twin Cities",186,
James,Holtan,DDS,University of Minnesota.,1963,School of Dentistry,"University of Minnesota, Twin Cities",186,
Paul,Jardine,Ph.D.,University of New Brunswick,1997,School of Dentistry,"University of Minnesota, Twin Cities",186,
Mike,John,Ph.D.,University of Washington School of Public Health,2002,School of Dentistry,"University of Minnesota, Twin Cities",186,24
Deborah,Johnson,BS,North Carolina State University,1975,School of Dentistry,"University of Minnesota, Twin Cities",186,
Robert,Jones,Ph.D.,University of California,2006,School of Dentistry,"University of Minnesota, Twin Cities",186,
Shanti,Kaimal,MDS,Government Dental College (Trivandrum,1997,School of Dentistry,"University of Minnesota, Twin Cities",186,
Priya,Kamdar,D.D.S.,University of Minnesota School of Dentistry,2011,School of Dentistry,"University of Minnesota, Twin Cities",186,
Jeffrey,Karp,D.M.D.,Temple University School of Dentistry,2002,School of Dentistry,"University of Minnesota, Twin Cities",186,303
Iryna,Khasabova,Ph.D.,A.A. Bogomoletz Institute of Physiology (Kiev,1990,School of Dentistry,"University of Minnesota, Twin Cities",186,
Sergey,Khasabov,Ph.D.,A.A. Bogomoletz Institute of Physiology (Kiev,1994,School of Dentistry,"University of Minnesota, Twin Cities",186,
Ioannis,Koutlas,MS,University of Minnesota School of Dentistry,1993,School of Dentistry,"University of Minnesota, Twin Cities",186,
Kristine,Krafts,B.A.,Smith College,1989,School of Dentistry,"University of Minnesota, Twin Cities",186,341
Erik,Langsjoen,M.S.,University of Minnesota,1981,School of Dentistry,"University of Minnesota, Twin Cities",186,
Brent,Larson,M.S.,University of North Carolina School of Dentistry,1987,School of Dentistry,"University of Minnesota, Twin Cities",186,
Thomas,Larson,MSD,University of Minnesota School of Dentistry,1976,School of Dentistry,"University of Minnesota, Twin Cities",186,
William,Larson,DDS,University of Minnesota School of Dentistry,1988,School of Dentistry,"University of Minnesota, Twin Cities",186,
Patricia,Lenton,MA,University of Minnesota,1998,School of Dentistry,"University of Minnesota, Twin Cities",186,
Vladimir,Leon-Salazar,D.D.S.,Inca Garcilaso de La Vega University,2001,School of Dentistry,"University of Minnesota, Twin Cities",186,
Naty,Lopez,Ph.D.,University of Pennsylvania,1990,School of Dentistry,"University of Minnesota, Twin Cities",186,
Michael,Madden,BS,St. John's University (Minn.),1979,School of Dentistry,"University of Minnesota, Twin Cities",186,
Kim,Mansky,Ph.D.,University of Wisconsin,1997,School of Dentistry,"University of Minnesota, Twin Cities",186,
Keith,Mays,Ph.D.,University of Maryland,2010,School of Dentistry,"University of Minnesota, Twin Cities",186,
Scott,McClanahan,MS,Northwestern University,1989,School of Dentistry,"University of Minnesota, Twin Cities",186,235
Bryan,Michalowicz,MS,University of Minnesota School of Dentistry,1988,School of Dentistry,"University of Minnesota, Twin Cities",186,
Eric,Mills,BS,Muhlenberg College,1977,School of Dentistry,"University of Minnesota, Twin Cities",186,
Estephan,Moana-Filho,Ph.D.,University of North Carolina School of Dentistry,2014,School of Dentistry,"University of Minnesota, Twin Cities",186,
Leesa,Morrow,Ph.D.,University of North Texas,1990,School of Dentistry,"University of Minnesota, Twin Cities",186,
Michael,Mrosak,D.D.S.,University of Minnesota,1986,School of Dentistry,"University of Minnesota, Twin Cities",186,
Sandra,Myers,BA,Eastern Oregon State College,1981,School of Dentistry,"University of Minnesota, Twin Cities",186,
Richard,Nadeau,MPH,University of Minnesota,1997,School of Dentistry,"University of Minnesota, Twin Cities",186,
Joy,Osborn,MA,University of Minnesota,1982,School of Dentistry,"University of Minnesota, Twin Cities",186,
Mary,Owen,MS,University of Minnesota School of Dentistry,1997,School of Dentistry,"University of Minnesota, Twin Cities",186,
Jorge,PerdigÌ£o,Ph.D.,Catholic University of Leuven,1995,School of Dentistry,"University of Minnesota, Twin Cities",186,
Craig,Phair,MS,University of Iowa College of Dentistry,1982,School of Dentistry,"University of Minnesota, Twin Cities",186,
Maria,Pintado,MPH,University of Minnesota,1986,School of Dentistry,"University of Minnesota, Twin Cities",186,
Mercedes,Porter,D.D.S.,University of Minnesota School of Dentistry,2009,School of Dentistry,"University of Minnesota, Twin Cities",186,
Karin,Quick,Ph.D.,University of Minnesota,1997,School of Dentistry,"University of Minnesota, Twin Cities",186,
Nelson,Rhodus,MPH,University of Minnesota,1987,School of Dentistry,"University of Minnesota, Twin Cities",186,
Sheila,Riggs,MS,Harvard School of Public Health,1987,School of Dentistry,"University of Minnesota, Twin Cities",186,
Michael,Rohrer,MS,University of Michigan,1978,School of Dentistry,"University of Minnesota, Twin Cities",186,
Joel,Rudney,Ph.D.,University of Colorado,1981,School of Dentistry,"University of Minnesota, Twin Cities",186,
Eric,Schiffman,M.S.,University of Minnesota,1986,School of Dentistry,"University of Minnesota, Twin Cities",186,
Paul,Schulz,MPH,University of Minnesota School of Public Health,2005,School of Dentistry,"University of Minnesota, Twin Cities",186,
Karl,Self,B.A.,University of Minnesota Carlson School of Management,1992,School of Dentistry,"University of Minnesota, Twin Cities",186,
Danae,Seyffer,M.D.T.,University of Minnesota School of Dentistry,2011,School of Dentistry,"University of Minnesota, Twin Cities",186,
Daniel,Shaw,MSD,University of Minnesota,1977,School of Dentistry,"University of Minnesota, Twin Cities",186,
Donald,Simone,Ph.D.,City University of New York,1985,School of Dentistry,"University of Minnesota, Twin Cities",186,
Jeffrey,Stefani,D.D.S.,University of Iowa College of Dentistry,1989,School of Dentistry,"University of Minnesota, Twin Cities",186,
Jill,Stoltenberg,MA,University of Minnesota,1986,School of Dentistry,"University of Minnesota, Twin Cities",186,
James,Swift,BA,Cornell College,1976,School of Dentistry,"University of Minnesota, Twin Cities",186,
Harold,Tu,D.M.D.,University of Oregon Dental School,1977,School of Dentistry,"University of Minnesota, Twin Cities",186,
Stanley,Williamson,B.S.,University of Iowa,1972,School of Dentistry,"University of Minnesota, Twin Cities",186,
Larry,Wolff,Ph.D.,Northwestern University Medical and Dental School,1974,School of Dentistry,"University of Minnesota, Twin Cities",186,235
Jasmine,Yesil,MS,University of Minnesota School of Dentistry,2000,School of Dentistry,"University of Minnesota, Twin Cities",186,
Wei,Zhang,Ph.D.,Purdue University,2001,School of Dentistry,"University of Minnesota, Twin Cities",186,185
Omar,Zidan,Ph.D.,Al Azhar University Faculty of Dentistry,1979,School of Dentistry,"University of Minnesota, Twin Cities",186,
John,Zupancic,DDS,University of Minnesota School of Dentistry,1992,School of Dentistry,"University of Minnesota, Twin Cities",186,
 Kenneth,Abbott,J.D.,Harvard Law School,1969,College of Law,Arizona State University,23,
 Dan,Bodansky,J.D.,Yale Law School,1984,College of Law,Arizona State University,23,
 Karen,Bradshaw Schulz,J.D.,The University of Chicago Law School,,College of Law,Arizona State University,23,122
 Sarah,Buel,J.D.,Harvard Law School,1990,College of Law,Arizona State University,23,
 Charles,Calleros,J.D.,"University of California, Davis Law School",1978,College of Law,Arizona State University,23,
 Andrew,Carter,J.D.,Vermont Law School,1999,College of Law,Arizona State University,23,
 Susan,Chesler,J.D.,Brooklyn Law School,1990,College of Law,Arizona State University,23,
 Adam,Chodorow,J.D.,University of Virginia,1990,College of Law,Arizona State University,23,
 Robert,Clinton,J.D.,University of Chicago Law School,1971,College of Law,Arizona State University,23,122
 Evelyn,Cruz,J.D.,University of Santa Clara School of Law,,College of Law,Arizona State University,23,
 Jaime,Dahlstedt,J.D.,University of San Diego School of Law,,College of Law,Arizona State University,23,
 Chuck,Dallyn,J.D.,University of Iowa College of Law,1978,College of Law,Arizona State University,23,
 Bob,Dauber,J.D.,Arizona State University College of Law,,College of Law,Arizona State University,23,23
 Linda,Demaine,Ph.D.,"Social Psychology, Arizona State University",1999,College of Law,Arizona State University,23,23
 Ira,Ellman,J.D.,"University of California, Berkeley",1973,College of Law,Arizona State University,23,
 Aaron,Fellmeth,J.D.,Yale University School of Law,1997,College of Law,Arizona State University,23,21
 Patty,Ferguson-Bohnee,J.D.,Columbia University School of Law,2001,College of Law,Arizona State University,23,246
 David,Gartner,Ph.D.,Massachusetts Institute of Technology,,College of Law,Arizona State University,23,195
 Kevin,Gover,J.D.,University of New Mexico School of Law,1981,College of Law,Arizona State University,23,265
 Betsy,Grey,J.D.,Georgetown University Law Center,,College of Law,Arizona State University,23,309
 Zachary,Gubler,J.D.,Harvard Law School,,College of Law,Arizona State University,23,
 Tamara,Herrera,J.D.,University of Nebraska School of Law,1996,College of Law,Arizona State University,23,
 Art,Hinshaw,J.D.,"and LL.M., University of Missouri",2000,College of Law,Arizona State University,23,
 James G.,Hodge Jr.,J.D.,Salmon P. Chase College of Law,1993,College of Law,Arizona State University,23,
 Kimberly,Holst,J.D.,Hamline University School of Law,2005,College of Law,Arizona State University,23,
 David,Kader,J.D.,University of Washington,1972,College of Law,Arizona State University,23,24
 Marcy,Karin,J.D.,Stanford Law School,,College of Law,Arizona State University,23,
 Dennis,Karjala,Ph.D.,"University of Illinois, Urbana",1965,College of Law,Arizona State University,23,
 Orde,Kittrie,J.D.,University of Michigan,1992,College of Law,Arizona State University,23,
 Zachary,Kramer,J.D.,University of Illinois College of Law,2004,College of Law,Arizona State University,23,
 Amy,Langenfeld,J.D.,Arizona State University College of Law,2000,College of Law,Arizona State University,23,23
 Rhett,Larson,J.D.,University of Chicago Law School,,College of Law,Arizona State University,23,122
 Myles,Lynk,J.D.,Harvard Law School,1976,College of Law,Arizona State University,23,
 Gary,Marchant,Ph.D.,"Genetics, University of British Columbia",1986,College of Law,Arizona State University,23,153
